City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
San Cristobal,VE,7.7669,-72.225,77.18,57,100,3.0
Phan Thiet,VN,10.9333,108.1,75.97,89,100,3.98
Isangel,VU,-19.55,169.2667,76.62,77,100,13.09
Norman Wells,CA,65.282,-126.8329,19.44,93,75,2.3
Atuona,PF,-9.8,-139.0333,77.18,70,3,18.77
Kapaa,US,22.0752,-159.319,84.18,75,40,14.97
Ikom,NG,5.9667,8.7063,74.5,97,96,1.86
Ushuaia,AR,-54.8,-68.3,49.66,37,0,8.05
Rikitea,PF,-23.1203,-134.9692,73.04,73,71,18.23
Tasiilaq,GL,65.6145,-37.6368,32.16,95,100,4.32
Butaritari,KI,3.0707,172.7902,81.01,77,59,3.04
Chapais,CA,49.7834,-74.8492,60.58,81,97,12.59
Campeche,MX,19.0,-90.5,97.97,34,62,3.13
Huarmey,PE,-10.0681,-78.1522,66.76,72,42,10.22
Nikolskoye,RU,59.7035,30.7861,35.49,85,100,8.81
Wagar,SD,16.1525,36.2032,85.41,55,62,12.28
Sumbe,AO,-11.2061,13.8437,76.21,87,23,7.81
Taltal,CL,-25.4,-70.4833,61.03,70,22,8.23
Kirkwood,US,38.5834,-90.4068,51.39,91,100,14.97
Aykhal,RU,66.0,111.5,13.82,94,35,15.66
Flinders,AU,-34.5833,150.8552,68.38,78,63,8.99
Vila do Maio,CV,15.1333,-23.2167,79.59,75,100,11.18
Bredasdorp,ZA,-34.5322,20.0403,60.96,72,100,8.12
Busselton,AU,-33.65,115.3333,53.37,91,66,3.11
Zyryanka,RU,65.75,150.85,11.25,94,100,10.33
Hong Kong,HK,22.2855,114.1577,73.45,72,98,11.99
Merauke,ID,-8.4667,140.3333,78.19,85,100,7.78
Cockburn Town,TC,21.4612,-71.1419,80.4,70,100,2.89
New Norfolk,AU,-42.7826,147.0587,55.92,85,100,4.0
Merrill,US,45.1805,-89.6835,46.17,65,100,6.91
Saint-Philippe,RE,-21.3585,55.7679,69.39,79,39,14.56
Itarema,BR,-2.9248,-39.9167,78.85,76,84,15.59
Upernavik,GL,72.7868,-56.1549,23.52,93,100,11.92
Newtownards,GB,54.5924,-5.6909,56.14,93,100,11.5
Umeå,SE,63.8284,20.2597,39.13,100,100,3.44
Cidreira,BR,-30.1811,-50.2056,66.79,77,0,16.87
Albany,US,42.6001,-73.9662,70.63,87,99,1.99
Qaanaaq,GL,77.484,-69.3632,23.32,95,100,3.49
Mar del Plata,AR,-38.0023,-57.5575,66.22,85,0,11.99
Vytegra,RU,61.0064,36.4481,32.54,81,71,6.24
Mil'kovo,RU,54.7167,158.6167,25.79,67,46,7.11
Nikolayevsk-on-Amur,RU,53.1406,140.73,29.46,79,56,2.39
Mount Gambier,AU,-37.8333,140.7667,57.11,100,100,8.05
Oberá,AR,-27.4871,-55.1199,78.85,48,0,2.75
Terrasini,IT,38.146,13.0844,74.08,82,0,3.44
Batavia,US,41.85,-88.3126,60.6,89,100,17.27
Soure,BR,-0.7167,-48.5233,81.93,73,100,13.4
Iqaluit,CA,63.7506,-68.5145,22.73,85,100,20.71
Kamakwie,SL,9.5,-12.2333,77.83,77,33,3.91
Opuwo,NA,-18.0607,13.84,72.52,40,11,4.25
Hithadhoo,MV,-0.6,73.0833,81.9,74,54,12.48
Port Alfred,ZA,-33.5906,26.891,62.19,86,100,5.01
San Vicente de Cañete,PE,-13.0751,-76.3835,65.84,73,15,9.06
Biscarrosse,FR,44.3945,-1.1672,71.55,56,0,17.27
Hobart,AU,-42.8794,147.3294,56.26,97,75,18.41
Banda Aceh,ID,5.5577,95.3222,79.14,82,94,8.23
Cape Town,ZA,-33.9258,18.4232,63.12,79,0,17.27
Mataura,NZ,-46.1927,168.8643,52.48,63,100,3.44
Itoman,JP,26.1247,127.6694,71.62,62,75,12.66
Bethel,US,41.3712,-73.414,71.69,87,100,6.91
George Town,MY,5.4112,100.3354,78.73,95,20,2.3
Ponnāni,IN,10.767,75.9252,72.72,84,7,4.45
Arraial do Cabo,BR,-22.9661,-42.0278,73.36,78,40,10.36
Dwārka,IN,22.2394,68.9678,79.65,61,0,9.26
Sayyan,YE,15.1718,44.3244,56.55,31,0,3.31
Rohri,PK,27.6922,68.8951,71.47,78,0,0.0
São Félix do Xingu,BR,-6.6447,-51.995,75.24,96,100,3.09
Souillac,MU,-20.5167,57.5167,71.98,78,40,9.22
Hilo,US,19.7297,-155.09,84.11,64,0,5.01
Bluff,NZ,-46.6,168.3333,52.81,73,100,7.05
Lebu,CL,-37.6167,-73.65,56.05,86,90,12.24
San Javier,ES,37.8063,-0.8374,69.33,91,0,2.3
Jamestown,US,42.097,-79.2353,71.24,44,0,4.61
Hasaki,JP,35.7333,140.8333,53.22,60,100,30.8
Sitka,US,57.0531,-135.33,46.29,66,20,5.75
Poum,NC,-20.2333,164.0167,76.06,79,15,9.4
Valle del Guamuez,CO,0.4525,-76.9192,89.02,63,86,2.71
Dikson,RU,73.5069,80.5464,22.98,86,100,2.13
Jumla,NP,29.2747,82.1838,42.28,69,1,5.01
Katangli,RU,51.7102,143.2326,32.32,85,17,9.91
Port Keats,AU,-14.25,129.55,82.4,78,28,6.58
East London,ZA,-33.0153,27.9116,64.94,68,100,12.08
Punta Arenas,CL,-53.15,-70.9167,50.11,66,100,12.66
Naze,JP,28.3667,129.4833,70.72,64,100,18.52
Thompson,CA,55.7435,-97.8558,26.76,93,100,11.5
Tiksi,RU,71.6872,128.8694,18.16,91,100,12.26
Acapulco de Juárez,MX,16.8634,-99.8901,85.82,79,40,8.05
Longyearbyen,SJ,78.2186,15.6401,15.64,67,20,4.61
Teteles de Avila Castillo,MX,19.8667,-97.4333,61.77,95,100,7.2
Hengshui,CN,37.7322,115.7011,61.88,36,100,10.8
Conceição do Araguaia,BR,-8.2578,-49.2647,75.49,92,100,5.97
Chicama,PE,-7.8447,-79.1469,61.34,63,100,9.78
Castro,BR,-24.7911,-50.0119,67.86,77,0,5.01
Utete,TZ,-7.986,38.758,70.25,95,11,3.58
Carnarvon,AU,-24.8667,113.6333,63.64,68,0,23.22
Sisimiut,GL,66.9395,-53.6735,25.84,87,89,8.5
Jiwani,PK,25.05,61.7417,80.98,80,0,8.81
Bambanglipuro,ID,-7.95,110.2833,76.66,84,100,4.21
Ust-Maya,RU,60.4167,134.5333,13.44,97,84,4.74
Kutum,SD,14.2,24.6667,71.1,23,2,11.65
